sample_id	gene	base_present	spike_present	base_rank	spike_rank	base_anomaly_score	spike_anomaly_score	base_is_significant	spike_is_significant	rank_improvement	score_gain
sample_85	ENSG00000172987	True	True	7037	188	0.7298958522725867	3.0739869494367777	False	True	6849	2.344091097164191
sample_49	ENSG00000099954	True	True	8558	5117	0.6412632165697113	0.9290993611017864	False	False	3441	0.28783614453207507
sample_56	ENSG00000285943	True	True	5752	1947	0.8658082902740579	1.5662134622936583	False	True	3805	0.7004051720196004
sample_55	ENSG00000104687	True	True	2068	67	1.4026459906782611	3.573708260216422	False	True	2001	2.1710622695381607
sample_77	ENSG00000156006	True	True	2027	2027	1.539513111114502	1.5395131707191467	False	False	0	5.960464477539063e-08
sample_9	ENSG00000059758	True	True	14352	1066	0.4206648961557555	2.582309105117667	False	True	13286	2.1616442089619117
sample_2	ENSG00000172531	False	False	0	0	0.0	0.0	False	False	0	0.0
sample_87	ENSG00000131435	True	True	122	4798	3.331129190505889	0.9893930518397608	False	False	-4676	-2.3417361386661284
sample_73	ENSG00000273331	True	True	9489	9488	0.5324322730302811	0.5324168354272842	False	False	1	-1.5437602996826172e-05
sample_27	ENSG00000280969	True	True	4536	13597	0.8116615613301595	0.2872622728282462	False	False	-9061	-0.5243992885019133
sample_5	ENSG00000092098	True	True	6939	6136	0.8436621160090496	0.9169747370089912	False	False	803	0.07331262099994162
sample_65	ENSG00000258366	True	True	16125	682	0.1727691008226656	2.207791118112764	False	True	15443	2.0350220172900984
sample_3	ENSG00000114019	False	False	0	0	0.0	0.0	False	False	0	0.0
sample_18	ENSG00000165059	True	True	10876	10507	0.3761974345788708	0.3933288852373759	False	False	369	0.017131450658505132
sample_52	ENSG00000100348	True	True	3876	5202	1.1696912592129838	0.952680316826732	False	True	-1326	-0.21701094238625174
sample_98	ENSG00000079616	True	True	9053	2549	0.984694827544919	1.9330699677532008	False	True	6504	0.9483751402082818
sample_8	ENSG00000161940	False	False	0	0	0.0	0.0	False	False	0	0.0
sample_4	ENSG00000136487	True	True	2538	6776	1.2802666425704956	0.7462479336311238	False	False	-4238	-0.5340187089393718
sample_9	ENSG00000251380	True	True	8988	8989	0.921699583530426	0.9216298758983612	False	False	-1	-6.970763206481934e-05
sample_43	ENSG00000123999	True	True	5227	1932	0.9644064376304462	1.6333587765693665	False	False	3295	0.6689523389389203
sample_61	ENSG00000173585	True	True	2858	3783	1.200526634144813	1.0407347083091736	True	False	-925	-0.1597919258356395
sample_86	ENSG00000183155	True	True	3024	16890	1.3681004264986183	0.160826782342184	False	False	-13866	-1.2072736441564342
sample_73	ENSG00000262461	True	True	5274	1795	0.9359734805254816	1.717012365659078	False	False	3479	0.7810388851335965
sample_82	ENSG00000132591	False	False	0	0	0.0	0.0	False	False	0	0.0
sample_40	ENSG00000143512	True	True	15402	10173	0.2272018416145154	0.5264960726102194	False	False	5229	0.29929423099570396
sample_28	ENSG00000182621	True	True	13732	370	0.3469559540616478	2.8658305042231844	False	False	13362	2.5188745501615366
sample_56	ENSG00000145808	True	True	3470	2310	1.1959610899345403	1.4533880650997162	False	False	1160	0.2574269751651759
sample_51	ENSG00000136861	True	True	9855	696	0.4997159544430223	2.396034972413871	False	False	9159	1.8963190179708487
sample_92	ENSG00000124596	True	True	7380	3647	0.7150303134951259	1.1480431289003978	False	False	3733	0.4330128154052719
sample_68	ENSG00000087842	True	True	6964	116	0.6849451397434252	3.666175603866577	False	True	6848	2.981230464123152
sample_94	ENSG00000159063	True	True	6276	2333	0.7457319448104726	1.3789350400307712	False	True	3943	0.6332030952202986
sample_18	ENSG00000162344	True	True	9132	874	0.4684678298532537	1.984751334534476	False	True	8258	1.5162835046812224
sample_82	ENSG00000166598	True	True	5646	199	0.809996811555056	3.1535546983975995	False	True	5447	2.3435578868425435
sample_55	ENSG00000136856	True	True	2832	54	1.232563316812509	3.794494449566733	False	False	2778	2.561931132754224
sample_1	ENSG00000124564	True	True	9269	9269	0.574018120765686	0.5740178823471069	False	False	0	-2.384185791015625e-07
sample_30	ENSG00000276231	True	True	14818	1340	0.2337390780448913	1.7470993399620056	False	False	13478	1.5133602619171143
sample_31	ENSG00000187187	True	True	17712	962	0.0914634058976997	2.2286545247295813	False	True	16750	2.1371911188318817
sample_86	ENSG00000073169	True	True	5157	91	1.012940569728462	3.47457571098456	False	True	5066	2.4616351412560977
sample_64	ENSG00000177483	True	True	16854	2219	0.1286952842959039	1.531054683312398	False	True	14635	1.402359399016494
sample_64	ENSG00000116459	True	True	2257	18190	1.522117186979288	0.0434171606187107	False	True	-15933	-1.4787000263605774
